"SECONDS";"PID";"VALUE";"UNITS"
"36287.128482";"Distance travelled";"0.303317412638889";"km"
"36287.128482";"Distance travelled (total)";"0.303317412638889";"km"
"36287.128482";"Vehicle acceleration";"-1.04297552272452";"m_sec2"
"36287.128482";"Vehicle speed";"29";"km/h"
"36287.406482";"Engine RPM";"1063";"rpm"
"36287.684482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.1953125";"mA"
"36287.684482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.0746032";""
"36288.240482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36288.240482";"Throttle position";"14.9019607843137";"%"
"36288.510482";"Average fuel consumption";"9.60731106128035";"L/100km"
"36288.510482";"Average fuel consumption (total)";"28.283535139632";"L/100km"
"36288.510482";"Calculated boost";"-0.630754078784582";"bar"
"36288.510482";"Calculated instant fuel rate";"1.69935932681769";"L/h"
"36288.510482";"Fuel used";"0.0291406473352453";"L"
"36288.510482";"Fuel used (total)";"0.0857888869883428";"L"
"36288.510482";"Fuel used price";"0.0294320538085978";"$"
"36288.510482";"Fuel used price (total)";"0.06";"$"
"36288.510482";"Instant engine power (based on fuel consumption)";"4.88976484964066";"hp"
"36288.510482";"MAF air flow rate";"4.85";"g/sec"
"36288.787482";"Average speed";"44.4111561645676";"km/h"
"36288.787482";"Calculated instant fuel consumption";"8.9439964569352";"L/100km"
"36288.787482";"Distance travelled";"0.312072122861111";"km"
"36288.787482";"Distance travelled (total)";"0.312072122861111";"km"
"36288.787482";"Vehicle acceleration";"-1.33538399573563";"m_sec2"
"36288.787482";"Vehicle speed";"19";"km/h"
"36289.065482";"Engine RPM";"818";"rpm"
"36289.351482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.3671875";"mA"
"36289.351482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.6011456";""
"36289.925482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36289.925482";"Throttle position";"14.5098039215686";"%"
"36290.203482";"Average fuel consumption";"9.58589407127262";"L/100km"
"36290.203482";"Average fuel consumption (total)";"27.7381850012475";"L/100km"
"36290.203482";"Calculated boost";"-0.514728254632326";"bar"
"36290.203482";"Calculated instant fuel rate";"1.64611436082931";"L/h"
